cities,population

New York,"8,622,698"

Los Angeles,"3,999,759"

Chicago,"2,716,450"

Houston,"2,312,717"

Phoenix,"1,626,078"

Philadelphia,"1,580,863"

San Antonio,"1,511,946"

San Diego,"1,419,516"

Dallas,"1,341,075"

San Jose,"1,035,317"

Austin,"950,715"

Jacksonville,"892,062"

San Francisco,"884,363"

Columbus,"879,170"

Fort Worth,"874,168"

Indianapolis,"863,002"

Charlotte,"859,035"

Seattle,"724,745"

Denver,"704,621"

Washington,"693,972"

Boston,"685,094"

El Paso,"683,577"

Detroit,"673,104"

Nashville-Davidson,"667,560"

Memphis,"652,236"

Portland,"647,805"

Oklahoma City,"643,648"

Las Vegas,"641,676"

Louisville/Jefferson County,"621,349"

Baltimore,"611,648"

Milwaukee,"595,351"

Albuquerque,"558,545"

Tucson,"535,677"

Fresno,"527,438"

Sacramento,"501,901"

Mesa,"496,401"

Kansas City,"488,943"

Atlanta,"486,290"

Long Beach,"469,450"

Omaha,"466,893"

Raleigh,"464,758"

Colorado Springs,"464,474"

Miami,"463,347"

Virginia Beach,"450,435"

Oakland,"425,195"

Minneapolis,"422,331"

Tulsa,"401,800"

Arlington,"396,394"

New Orleans,"393,292"

Wichita,"390,591"

Cleveland,"385,525"

Tampa,"385,430"

Bakersfield,"380,874"

Aurora,"366,623"

Anaheim,"352,497"

Honolulu,"350,395"

Santa Ana,"334,136"

Riverside,"327,728"

Corpus Christi,"325,605"

Lexington-Fayette,"321,959"

Stockton,"310,496"

St. Louis,"308,626"

St. Paul,"306,621"

Henderson,"302,539"

Pittsburgh,"302,407"

Cincinnati,"301,301"

Anchorage,"294,356"

Greensboro,"290,222"

Plano,"286,143"

Newark,"285,154"

Lincoln,"284,736"

Orlando,"280,257"

Irvine,"277,453"

Toledo,"276,491"

Jersey City,"270,753"

Chula Vista,"270,471"

Durham,"267,743"

Fort Wayne,"265,904"

St. Petersburg,"263,255"

Laredo,"260,654"

Buffalo,"258,612"

Madison,"255,214"

Lubbock,"253,888"

Chandler,"253,458"

Scottsdale,"249,950"

Reno,"248,853"

Glendale,"246,709"

Norfolk,"244,703"

Winston-Salem,"244,605"

North Las Vegas,"242,975"

Gilbert,"242,354"

Chesapeake,"240,397"

Irving,"240,373"

Hialeah,"239,673"

Garland,"238,002"

Fremont,"234,962"

Richmond,"227,032"

Boise City,"226,570"

Baton Rouge,"225,374"

Des Moines,"217,521"

Spokane,"217,108"

San Bernardino,"216,995"

Modesto,"214,221"

Tacoma,"213,418"

Fontana,"211,815"

Santa Clarita,"210,888"

Birmingham,"210,710"

Oxnard,"210,037"

Fayetteville,"209,889"

Rochester,"208,046"

Moreno Valley,"207,226"

Glendale,"203,054"

Yonkers,"202,019"

Huntington Beach,"201,874"

Aurora,"200,965"

Salt Lake City,"200,544"

Amarillo,"199,826"

Montgomery,"199,518"

Grand Rapids,"198,829"

Little Rock,"198,606"

Akron,"197,846"

Augusta-Richmond County,"197,166"

Huntsville,"194,585"

Columbus,"194,058"

Grand Prairie,"193,837"

Shreveport,"192,036"

Overland Park,"191,278"

Tallahassee,"191,049"

Mobile,"190,265"

Port St. Lucie,"189,344"

Knoxville,"187,347"

Worcester,"185,677"

Tempe,"185,038"

Cape Coral,"183,365"

Brownsville,"183,299"

McKinney,"181,330"

Providence,"180,393"

Fort Lauderdale,"180,072"

Newport News,"179,388"

Chattanooga,"179,139"

Rancho Cucamonga,"177,452"

Frisco,"177,286"

Sioux Falls,"176,888"

Oceanside,"176,193"

Ontario,"175,841"

Vancouver,"175,673"

Santa Rosa,"175,269"

Garden Grove,"174,226"

Elk Grove,"171,844"

Pembroke Pines,"170,712"

Salem,"169,798"

Eugene,"168,916"

Peoria,"168,181"

Corona,"167,836"

Springfield,"167,376"

Jackson,"166,965"

Cary,"165,904"

Fort Collins,"165,080"

Hayward,"160,500"

Lancaster,"160,316"

Alexandria,"160,035"

Salinas,"157,596"

Palmdale,"157,519"

Lakewood,"154,958"

Springfield,"154,758"

Sunnyvale,"153,656"

Hollywood,"153,627"

Pasadena,"153,520"

Clarksville,"153,205"

Pomona,"152,939"

Kansas City,"152,938"

Macon-Bibb County,"152,663"

Escondido,"151,969"

Paterson,"148,678"

Joliet,"148,462"

Naperville,"147,682"

Rockford,"147,051"

Torrance,"146,758"

Bridgeport,"146,579"

Savannah,"146,444"

Killeen,"145,482"

Bellevue,"144,444"

Mesquite,"143,949"

Syracuse,"143,396"

McAllen,"142,696"

Pasadena,"142,647"

Orange,"140,560"

Fullerton,"140,392"

Dayton,"140,371"

Miramar,"140,328"

Olathe,"137,472"

Thornton,"136,978"

Waco,"136,436"

Murfreesboro,"136,372"

Denton,"136,268"

West Valley City,"136,170"

Midland,"136,089"

Carrollton,"135,710"

Roseville,"135,329"

Warren,"135,022"

Charleston,"134,875"

Hampton,"134,669"

Surprise,"134,085"

Columbia,"133,114"

Coral Springs,"133,037"

Visalia,"133,010"

Sterling Heights,"132,631"

Gainesville,"132,249"

Cedar Rapids,"132,228"

New Haven,"131,014"

Stamford,"130,824"

Elizabeth,"130,215"

